subject,data
boarding,"A common tactic in crawler-versus-crawler combat. Specialized boarding trucks carry armed crew to breach an enemy crawler's hull or access points. Capturing a crawler and its crew intact is often more valuable than destruction, given the scarcity of working machinery and skilled personnel."
city state politics,"Politics are strictly local: no planet-spanning authority, international law, or universal code of warfare. Neighboring city-states may ally or trade; the open desert is lawless except for informal norms (for example, deliberately poisoning a neighbor's oasis may be taboo between rivals). Industrial extraction cities depend on imported water and food, so their supply lines are a strategic vulnerability."
coal,"An alternative fuel used by some crawlers with steam-driven engines. Heavier and less efficient than petroleum. Coal-powered crawlers must remain within range of coal-producing regions, limiting their operational freedom. Requires more crew to operate the engines."
crawler combat,"Engagements may involve artillery exchanges at range using naval-style batteries, followed by attempts to close and board using trucks and infantry. Capturing a crawler intact is often preferable to destroying one, given the scarcity of machinery and skilled crew. Smaller vehicles — tanks, armored cars, sand bikes — are deployed to screen, flank, or pursue."
crew,"Operators and specialists living aboard a sandcrawler. On small crawlers, crew follow a strict military hierarchy. On larger crawlers, complex social structures may emerge with guilds, classes, and hereditary families. Some families span multiple crawler crews across generations, never settling in any city."
desert planet,"An earth-sized world with comparable gravity and a breathable atmosphere, but drastically less surface water. Plate tectonics are nearly stalled, so the surface has almost no mountain ranges — immense wind-eroded hardpan flats, sculpted rock formations, and enormous dune seas dominate. The feel falls between the Australian bush and the Sahara: sparse hardy ground cover on rocky outcrops in better areas and total barren hardpan elsewhere. Scorching days, freezing nights, frequent sandstorms."
economy,"No planet-wide currency exists. Some local coalitions of neighboring city-states may agree on a manufactured token currency, but most trade is barter: scavenged metals, mechanical parts, fuel, water, food, mercenary contracts, and transported cargo."
faction bonded settlements,"Canon id: world.slave_camps. Display name: Bonded Settlements. Type: dependent_settlements. Default relation to player: neutral. Tiny subjugated farming oases and work camps controlled by larger city-states or powerful crawlers. Populations of a few hundred, primarily enslaved laborers or indentured workers. Produce food and water for their overlords. May be liberated, traded for, or exploited depending on the player's choices."
faction deep desert prospectors,"Canon id: world.deep_desert_prospectors. Display name: Deep Desert Prospectors. Type: crawler_fleet. Default relation to player: cautious. Small, rugged crawlers and bike teams that venture into extremely remote regions searching for untouched old empire ruins, lost crawlers, or undiscovered resource deposits. Secretive and suspicious of strangers but may trade valuable salvage or information."
faction free oases,"Canon id: world.free_oases. Display name: Free Oases. Type: independent_cities. Default relation to player: neutral. Unaligned oasis city-states that have resisted joining any coalition. Range from prosperous independent trading hubs to struggling backwater settlements. Policies toward crawlers vary widely by city — some welcome traders, others shoot on approach."
faction hull city,"Canon id: world.hull_city. Display name: Hull City. Type: ruin_city. Default relation to player: cautious. A significant city built inside and around the mangled remains of a massive crashed imperial starship. The hull is actively mined for metals and occasional technological artifacts. A major trade destination for scavengers and prospectors. Politically independent and fiercely protective of its claim."
faction iron convoy,"Canon id: world.iron_convoy. Display name: The Iron Convoy. Type: crawler_fleet. Default relation to player: neutral. A disciplined mercenary fleet known for reliable contract work. Escorts caravans, guards extraction sites, and occasionally hires out for city-state military operations. Professional and transactional — loyalty lasts exactly as long as the contract."
faction leviathan,"Canon id: world.the_leviathan. Display name: The Leviathan. Type: mega_crawler. Default relation to player: neutral. One of the rumored nuclear-powered mega-crawlers. A mobile city-state housing thousands, fielding its own escort fleet, and answering to no one. Sightings are rare and often exaggerated. Its intentions, route, and leadership are subjects of widespread speculation and folk legend across the planet."
faction nomad caravans,"Canon id: world.nomad_caravans. Display name: Nomad Caravans. Type: crawler_fleet. Default relation to player: neutral. Loose flotillas of trading crawlers that travel established routes between city-states, hauling water, fuel, scavenged metals, and goods. Generally non-aggressive but well-armed for self-defense. Will trade with anyone who approaches peacefully."
faction oasis league,"Canon id: world.oasis_league. Display name: Oasis League. Type: city_alliance. Default relation to player: cautious. A coalition of several neighboring oasis city-states that have agreed to mutual defense pacts and a shared token currency for inter-city trade. Suspicious of unaffiliated crawlers but open to trade. Controls significant water reserves."
